,Apartment_Name,Apartment_Add,Apartment_Price,Apartment_Tel,Apartment_Type,Apartment_Link
289,"4 br, 1 bath House - 3205 JOE HAMMER SQUARE","3205 Joe Hammer Square, Pittsburgh, PA 15213","$1,395",(412) 246-9209,4 Bed,https://www.apartments.com/4-br-1-bath-house-3205-joe-hammer-square-pittsburgh-pa/66dwe0s/
290,323 W Penn Pl,"323 W Penn Pl, Pittsburgh, PA 15224","$1,975",(833) 634-0811,3 Bed,https://www.apartments.com/323-w-penn-pl-pittsburgh-pa/0ywfk62/
291,600 South Highland Apartments,"600 S Highland Ave, Pittsburgh, PA 15206","$1,199 - 1,250",(844) 502-7919,1 Bed,https://www.apartments.com/600-south-highland-apartments-pittsburgh-pa/1gbv7f7/
292,Beacon Commons,"5629 Beacon St, Pittsburgh, PA 15217","$2,510 - 3,675",(844) 841-9202,3 Bed,https://www.apartments.com/beacon-commons-pittsburgh-pa/2cksrk9/
293,316 S Mathilda St,"316 S Mathilda St, Pittsburgh, PA 15224",$915,(844) 878-5071,1 Bed,https://www.apartments.com/316-s-mathilda-st-pittsburgh-pa/4b6t8zh/
294,Hobart Court,"5559 Hobart St, Pittsburgh, PA 15217","$1,168 - 1,758",(844) 279-9804,1 Bed,https://www.apartments.com/hobart-court-pittsburgh-pa/xr1kdlp/
295,3341 McNeil Pl,"3341 McNeil Pl, Pittsburgh, PA 15219","$1,450",(949) 312-9710,3 Bed,https://www.apartments.com/3341-mcneil-pl-pittsburgh-pa/tmxcw99/
296,Hobart/Wightman Apartments,"2041-2043 Wightman St, Pittsburgh, PA 15217",$980,(412) 368-2650,1 Bed,https://www.apartments.com/hobart-wightman-apartments-pittsburgh-pa/7fjrw7y/
297,Walnut on the Park,"5326 Pocusset St, Pittsburgh, PA 15217","$1,376 - 2,036",(844) 787-1625,1-2 Bed,https://www.apartments.com/walnut-on-the-park-pittsburgh-pa/f74fvhv/
298,Wightman Street,"2129-2135 Wightman, Pittsburgh, PA 15217","$1,227 - 1,757",(844) 717-9603,1 Bed,https://www.apartments.com/wightman-street-pittsburgh-pa/xbzj7fm/
299,229 S Fairmount St,"229 S Fairmount St, Pittsburgh, PA 15206","$1,275",(412) 665-0500,2 Bed,https://www.apartments.com/229-s-fairmount-st-pittsburgh-pa/4qqq7mk/
300,247 S Saint Clair,"247 S St Clair St, Pittsburgh, PA 15206","$1,450",(412) 418-6301,2 Bed,https://www.apartments.com/247-s-saint-clair-pittsburgh-pa/zp11pdz/
301,247 S Saint Clair,"247 S St Clair St, Pittsburgh, PA 15206","$1,650",(412) 418-6301,3 Bed,https://www.apartments.com/247-s-saint-clair-pittsburgh-pa/deyqkbl/
302,5644 Hempstead Road.,"5644 Hempstead Rd, Pittsburgh, PA 15217","$1,379 - 1,864",(844) 661-9531,1 Bed,https://www.apartments.com/5644-hempstead-road-pittsburgh-pa/8jkydg3/
303,Phillips Ave Apartments,"5623-5641 Phillips Ave, Pittsburgh, PA 15217",$950,(844) 631-0930,1 Bed,https://www.apartments.com/phillips-ave-apartments-pittsburgh-pa/ck2ph7f/
304,"4 br, 2 bath House - 4629 Torley Street","4629 Torley St, Pittsburgh, PA 15224","$1,400",(412) 904-1083,4 Bed,https://www.apartments.com/4-br-2-bath-house-4629-torley-street-pittsburgh-pa/tthgw9c/
305,"3 br, 2.5 bath House - 5121 Dearborn St","5121 Dearborn St, Pittsburgh, PA 15224","$2,500",(412) 676-7286,3 Bed,https://www.apartments.com/3-br-25-bath-house-5121-dearborn-st-pittsburgh-pa/9409m46/
306,"3 br, 1 bath House - 4013 Howley St","4013 Howley St, Pittsburgh, PA 15224","$1,375",(412) 690-5544,3 Bed,https://www.apartments.com/3-br-1-bath-house-4013-howley-st-pittsburgh-pa/t189lh9/
307,319 Hancock St,"319 Hancock St, Pittsburgh, PA 15219","$1,350",(484) 552-9043,2 Bed,https://www.apartments.com/319-hancock-st-pittsburgh-pa/nw6zjtq/
308,"2 br, 2 bath House - 343 Rennig Street","343 Rennig St, Pittsburgh, PA 15206","$1,595",(412) 600-5952,2 Bed,https://www.apartments.com/2-br-2-bath-house-343-rennig-street-pittsburgh-pa/v8k2tpe/
309,"2 br, 1 bath House - 341 Rennig Street","341 Rennig St, Pittsburgh, PA 15206","$1,395",(412) 600-5952,2 Bed,https://www.apartments.com/2-br-1-bath-house-341-rennig-street-pittsburgh-pa/7p0lefw/
310,"3 br, 2.5 bath House - 315 37th Street","315 37th St, Pittsburgh, PA 15201","$3,000",(412) 621-4689,3 Bed,https://www.apartments.com/3-br-25-bath-house-315-37th-street-pittsburgh-pa/16bs5h6/
311,1 bedroom in Pittsburgh PA 15201,"3704 Penn Ave, Pittsburgh, PA 15201","$1,100",(412) 314-1813,1 Bed,https://www.apartments.com/1-bedroom-in-pittsburgh-pa-15201-pittsburgh-pa/hw24v40/
312,"3 br, 2 bath House - 3583 Beechwood Blvd.","3583 Beechwood Blvd, Pittsburgh, PA 15217","$2,400",(412) 716-6865,3 Bed,https://www.apartments.com/3-br-2-bath-house-3583-beechwood-blvd-pittsburgh-pa/czr0qpe/
313,3345 Penn Ave - LAWRENCEVILLE,"3345 Penn Ave, Pittsburgh, PA 15201","$3,200",(412) 860-5787,2 Bed,https://www.apartments.com/3345-penn-ave-lawrenceville-pittsburgh-pa/vqtb9ce/
314,Brass Building Lofts,"3179 Penn Ave, Pittsburgh, PA 15201","$1,950",(844) 780-1385,2 Bed,https://www.apartments.com/brass-building-lofts-pittsburgh-pa/k0nwgfb/
315,"2 br, 1 bath House - 4243 Dunkeld Way","4243 Dunkeld Way, Pittsburgh, PA 15201","$1,350",(412) 621-4689,2 Bed,https://www.apartments.com/2-br-1-bath-house-4243-dunkeld-way-pittsburgh-pa/rfts370/
316,2 bedroom 1 bath Duplex South Side!,"2417 1/2 Sarah St, Pittsburgh, PA 15203","$1,275",(412) 888-0027,2 Bed,https://www.apartments.com/2-bedroom-1-bath-duplex-south-side-pittsburgh-pa/18rf5n5/
317,1916 Tustin St,"1916 Tustin St, Pittsburgh, PA 15219","$1,200",(412) 287-5712,3 Bed,https://www.apartments.com/1916-tustin-st-pittsburgh-pa/vqy2pkf/
318,"2 br, 1 bath House - 2825 Edwards Way","2825 Edwards Way, Pittsburgh, PA 15203","$1,450",(412) 381-3900,2 Bed,https://www.apartments.com/2-br-1-bath-house-2825-edwards-way-pittsburgh-pa/j8re5k4/
319,"2 br, 1 bath House - 2823 Edwards Way","2823 Edwards Way, Pittsburgh, PA 15203","$1,450",(412) 381-3900,2 Bed,https://www.apartments.com/2-br-1-bath-house-2823-edwards-way-pittsburgh-pa/rhj4v22/
320,34 Miltenberger St,"34 Miltenberger St, Pittsburgh, PA 15219","$1,600",(412) 287-5712,4 Bed,https://www.apartments.com/34-miltenberger-st-pittsburgh-pa/c0z1p2e/
321,"3 br, 1 bath House - 31 Miltenberger","31 Miltenberger St, Pittsburgh, PA 15219","$1,500",(412) 676-7286,3 Bed,https://www.apartments.com/3-br-1-bath-house-31-miltenberger-pittsburgh-pa/2yv6rec/
322,4360 Ludwick St,"4360 Ludwick St, Pittsburgh, PA 15217","$1,750",(833) 634-0811,3 Bed,https://www.apartments.com/4360-ludwick-st-pittsburgh-pa/90ls9x7/
323,"4 br, 2 bath House - 1906 Sidney St.","1906 Sidney St, Pittsburgh, PA 15203","$2,800",(412) 381-3900,4 Bed,https://www.apartments.com/4-br-2-bath-house-1906-sidney-st-pittsburgh-pa/m829mnk/
324,"5 br, 2 bath House - 315 Mayflower St","315 Mayflower St, Pittsburgh, PA 15206","$2,100",(412) 676-7286,5 Bed,https://www.apartments.com/5-br-2-bath-house-315-mayflower-st-pittsburgh-pa/hnvdfc3/
325,"3 br, 2 bath House - 185 45th St.","185 45th St, Pittsburgh, PA 15201","$2,595",(412) 520-8090,3 Bed,https://www.apartments.com/3-br-2-bath-house-185-45th-st-pittsburgh-pa/3vcr23d/
326,"4 br, 2 bath House - 1929 Jane St.","1929 Jane St, Pittsburgh, PA 15203","$2,650",(412) 381-3900,4 Bed,https://www.apartments.com/4-br-2-bath-house-1929-jane-st-pittsburgh-pa/pnysbht/
327,131 S 19th St,"131 S 19th St, Pittsburgh, PA 15203","$2,200",(412) 913-1299,3 Bed,https://www.apartments.com/131-s-19th-st-pittsburgh-pa/0pjx132/
328,"3 br, 2 bath House - 6116 Stanton Ave","6116 Stanton Ave, Pittsburgh, PA 15206","$1,500",(412) 676-7286,3 Bed,https://www.apartments.com/3-br-2-bath-house-6116-stanton-ave-pittsburgh-pa/tsqmkkc/
329,"3 br, 1 bath House - 1826 Larkins Way","1826 Larkins Way, Pittsburgh, PA 15203","$2,000",(412) 381-3900,3 Bed,https://www.apartments.com/3-br-1-bath-house-1826-larkins-way-pittsburgh-pa/k8djgmb/
330,"4 br, 2.5 bath House - 1820 Larkins Way","1820 Larkins Way, Pittsburgh, PA 15203","$3,200",(412) 455-7900,4 Bed,https://www.apartments.com/4-br-25-bath-house-1820-larkins-way-pittsburgh-pa/tcphex9/
331,"5 br, 3 bath House - 2820 Patterson St.","2820 Patterson St, Pittsburgh, PA 15203","$2,600",(412) 381-3900,5 Bed,https://www.apartments.com/5-br-3-bath-house-2820-patterson-st-pittsburgh-pa/q4xremw/
332,"4 br, 2.5 bath House - 2724 Berg St.","2724 Berg St, Pittsburgh, PA 15203","$1,850",(412) 381-3900,4 Bed,https://www.apartments.com/4-br-25-bath-house-2724-berg-st-pittsburgh-pa/vcm72xg/
333,"3 br, 1 bath House - 1821 Jane St.","1821 Jane St, Pittsburgh, PA 15203","$1,850",(412) 381-3900,3 Bed,https://www.apartments.com/3-br-1-bath-house-1821-jane-st-pittsburgh-pa/pyytqet/
334,"4 br, 2 bath House - 66 S 17th St","66 S 17th St, Pittsburgh, PA 15203","$2,450",(412) 676-7286,4 Bed,https://www.apartments.com/4-br-2-bath-house-66-s-17th-st-pittsburgh-pa/zkz1vtz/
335,"3 br, 1 bath House - 1823 Jane St.","1823 Jane St, Pittsburgh, PA 15203","$1,950",(412) 381-3900,3 Bed,https://www.apartments.com/3-br-1-bath-house-1823-jane-st-pittsburgh-pa/2bdfl29/
336,"3 br, 2 bath House - 123 S. 17th St.","123 S 17th St, Pittsburgh, PA 15203","$2,150",(412) 381-3900,3 Bed,https://www.apartments.com/3-br-2-bath-house-123-s-17th-st-pittsburgh-pa/qz7tdxy/
337,Kingsford,"5501 Wellesley Ave, Pittsburgh, PA 15206",$955,(844) 523-5791,1 Bed,https://www.apartments.com/kingsford-pittsburgh-pa/j6s5el7/
338,135 S 17th St,"135 S 17th St, Pittsburgh, PA 15203","$2,300",(412) 888-0027,3 Bed,https://www.apartments.com/135-s-17th-st-pittsburgh-pa/s28n387/
339,"4 br, 2 bath House - 151 Pius St.","151 Pius St, Pittsburgh, PA 15203","$2,700",(412) 381-3900,4 Bed,https://www.apartments.com/4-br-2-bath-house-151-pius-st-pittsburgh-pa/q1fjnwy/
340,3 Bedroom Home in Lawrenceville,"4742 Hatfield St, Pittsburgh, PA 15201","$1,400",(412) 729-3000,3 Bed,https://www.apartments.com/3-bedroom-home-in-lawrenceville-pittsburgh-pa/ech7ytq/
341,116 S 16th St,"116 S 16th St, Pittsburgh, PA 15203","$1,700",(724) 492-1083,3 Bed,https://www.apartments.com/116-s-16th-st-pittsburgh-pa/ckcjyeg/
342,"3 br, 2 bath House - 1715 Mary Street","1715 Mary St, Pittsburgh, PA 15203","$2,200",(412) 650-0090,3 Bed,https://www.apartments.com/3-br-2-bath-house-1715-mary-street-pittsburgh-pa/hf8dd73/
343,"3 br, 1 bath House - 2319 Salisbury Street","2319 Salisbury St, Pittsburgh, PA 15210","$1,295",(484) 552-9043,3 Bed,https://www.apartments.com/3-br-1-bath-house-2319-salisbury-street-pittsburgh-pa/5pzg90q/
344,"5 br, 2 bath House - 139 S. 15th St.","139 S 15th St, Pittsburgh, PA 15203","$3,300",(412) 381-3900,5 Bed,https://www.apartments.com/5-br-2-bath-house-139-s-15th-st-pittsburgh-pa/wk2kk9k/
345,"2 br, 1 bath House - 168 S. 16th Street","168 S 16th St, Pittsburgh, PA 15203","$1,300",(412) 214-9611,2 Bed,https://www.apartments.com/2-br-1-bath-house-168-s-16th-street-pittsburgh-pa/ytwhs1r/
346,5108 Dresden Way,"5108 Dresden Way, Pittsburgh, PA 15201","$1,340",(412) 665-0500,3 Bed,https://www.apartments.com/5108-dresden-way-pittsburgh-pa/8zplhs2/
347,"3 br, 1 bath House - 7127 McPherson Blvd","7127 McPherson Blvd, Pittsburgh, PA 15208","$1,500",(412) 676-7286,3 Bed,https://www.apartments.com/3-br-1-bath-house-7127-mcpherson-blvd-pittsburgh-pa/t6nrff8/
348,167 S 15th St,"167 S 15th St, Pittsburgh, PA 15203","$2,800",(412) 531-1500,3 Bed,https://www.apartments.com/167-s-15th-st-pittsburgh-pa/t7l3bkb/
349,1921 Shamokin St,"1921 Shamokin St, Pittsburgh, PA 15203","$1,295",(412) 275-4255,3 Bed,https://www.apartments.com/1921-shamokin-st-pittsburgh-pa/n8zzxrp/
350,1420 Claim St,"1420 Claim St, Pittsburgh, PA 15212",$900,(412) 254-8908,2 Bed,https://www.apartments.com/1420-claim-st-pittsburgh-pa/p6mzsxs/
351,"2 br, 1 bath House - 1376 Herman St","1376 Herman St, Pittsburgh, PA 15212","$1,395",(412) 520-8090,2 Bed,https://www.apartments.com/2-br-1-bath-house-1376-herman-st-pittsburgh-pa/vcel9fg/
352,"3 br, 1.5 bath House - 1520 Fernleaf St","1520 Fernleaf St, Pittsburgh, PA 15210","$1,350",(412) 354-9034,3 Bed,https://www.apartments.com/3-br-15-bath-house-1520-fernleaf-st-pittsburgh-pa/mkq361h/
353,"4 br, 2 bath House - 18 Enon Way","18 Enon Way, Pittsburgh, PA 15203","$2,200",(412) 676-7286,4 Bed,https://www.apartments.com/4-br-2-bath-house-18-enon-way-pittsburgh-pa/7nsj3zw/
354,"5 br, 2 bath House - 113 S. 12th St.","113 S 12th St, Pittsburgh, PA 15203","$3,300",(412) 381-3900,5 Bed,https://www.apartments.com/5-br-2-bath-house-113-s-12th-st-pittsburgh-pa/g485w1z/
355,"2 br, 1 bath House - 5171 Dresden Way","5171 Dresden Way, Pittsburgh, PA 15201","$1,700",(412) 621-4689,2 Bed,https://www.apartments.com/2-br-1-bath-house-5171-dresden-way-pittsburgh-pa/r097k53/
356,Eaglemoor,"1137 N Highland Ave, Pittsburgh, PA 15206","$1,500",(844) 395-5746,2 Bed,https://www.apartments.com/eaglemoor-pittsburgh-pa/gd7swgw/
357,"4 br, 2 bath House - 6 Brosville St.","6 Brosville St, Pittsburgh, PA 15203","$2,700",(412) 381-3900,4 Bed,https://www.apartments.com/4-br-2-bath-house-6-brosville-st-pittsburgh-pa/fkll6rt/
358,"2 br, 1.5 bath House - 132 S 12th Street","132 S 12th St, Pittsburgh, PA 15203","$1,900",(412) 446-0064,2 Bed,https://www.apartments.com/2-br-15-bath-house-132-s-12th-street-pittsburgh-pa/6dd3xzr/
359,"5 br, 2.5 bath House - 1116 Freyburg","1116 Freyburg St, Pittsburgh, PA 15203","$2,950",(412) 676-7286,5 Bed,https://www.apartments.com/5-br-25-bath-house-1116-freyburg-pittsburgh-pa/scv7b07/
360,"3 br, 1.5 bath House - 117 S. 11th St","117 S 11th St, Pittsburgh, PA 15203","$1,925",(412) 381-3900,3 Bed,https://www.apartments.com/3-br-15-bath-house-117-s-11th-st-pittsburgh-pa/4kmtqtk/
361,"3 br, 2 bath House - 133 S. 11th St.","133 S 11th St, Pittsburgh, PA 15203","$2,100",(412) 381-3900,3 Bed,https://www.apartments.com/3-br-2-bath-house-133-s-11th-st-pittsburgh-pa/c03tbqe/
362,Hawksrest,"7510 Penn Ave, Pittsburgh, PA 15208",$850 - 860,(844) 244-4896,1 Bed,https://www.apartments.com/hawksrest-pittsburgh-pa/3x63zng/
363,"2 br, 1 bath House - 25 1/2 Tecumseh Street","1 Tecumseh St, Pittsburgh, PA 15207",$900,(610) 585-8357,2 Bed,https://www.apartments.com/2-br-1-bath-house-25-1-2-tecumseh-street-pittsburgh-pa/9htygk6/
364,310 54th St,"310 54th St, Pittsburgh, PA 15201","$1,200",(833) 634-0811,2 Bed,https://www.apartments.com/310-54th-st-pittsburgh-pa/x4p9dhp/
365,Heidelberg,"401-423 S Braddock Ave, Pittsburgh, PA 15221","$1,435",(844) 250-6458,2 Bed,https://www.apartments.com/heidelberg-pittsburgh-pa/n42j37q/
366,"2 br, 1 bath House - 1962 Waite Street","1962 Waite St, Pittsburgh, PA 15210",$945,(412) 606-6899,2 Bed,https://www.apartments.com/2-br-1-bath-house-1962-waite-street-pittsburgh-pa/503y0vm/
367,513 56th,"513 56th St, Pittsburgh, PA 15201","$1,500",,2 Bed,https://www.apartments.com/513-56th-pittsburgh-pa/eje1xem/
368,2603 Quarry St,"2603 Quarry St, Pittsburgh, PA 15210","$1,595",(412) 419-3980,3 Bed,https://www.apartments.com/2603-quarry-st-pittsburgh-pa/k70th6c/
369,1910 Rockledge St,"1910 Rockledge St, Pittsburgh, PA 15212",$867,(855) 909-4456,1 Bed,https://www.apartments.com/1910-rockledge-st-pittsburgh-pa/10l18v4/
370,Lando Lofts,"908 Penn Ave, Pittsburgh, PA 15222","$1,575 - 1,695",(855) 546-8787,1 Bed,https://www.apartments.com/lando-lofts-pittsburgh-pa/sv6eby4/
371,South Trenton Avenue 513,"513 S Trenton Ave, Pittsburgh, PA 15221","$1,290",(412) 969-3772,3 Bed,https://www.apartments.com/south-trenton-avenue-513-pittsburgh-pa/pdwwvls/
372,6 Butler St,"6 Butler St, Pittsburgh, PA 15209","$1,500",(412) 531-1500,3 Bed,https://www.apartments.com/6-butler-st-pittsburgh-pa/gtf7t5z/
373,"2 br, 1.5 bath House - 1806 Rhine St","1806 Rhine St, Pittsburgh, PA 15212",$995,(412) 676-7286,2 Bed,https://www.apartments.com/2-br-15-bath-house-1806-rhine-st-pittsburgh-pa/jpcwnz5/
374,"2 br, 1.5 bath House - 840 Blossom Way","840 Blossom Way, Pittsburgh, PA 15212","$1,175",(412) 690-5544,2 Bed,https://www.apartments.com/2-br-15-bath-house-840-blossom-way-pittsburgh-pa/dcl8nnj/
375,131-133 Brownsville Rd,"131-133 Brownsville Rd, Pittsburgh, PA 15210",$450,(412) 520-7684,1 Bed,https://www.apartments.com/131-133-brownsville-rd-pittsburgh-pa/4thy7gj/
376,"2 br, 1 bath Townhome - 418 Cathedral Ave","418 Cathedral Ave, Pittsburgh, PA 15210",$900,(814) 403-5201,2 Bed,https://www.apartments.com/2-br-1-bath-townhome-418-cathedral-ave-pittsburgh-pa/chnhk7g/
377,5000 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5000-5th-ave-pittsburgh-pa/mwf031k/
378,THE VERONICA,"618 Clyde St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/the-veronica-pittsburgh-pa/gs4kxgx/
379,The Atrium,"307 S Dithridge St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/the-atrium-pittsburgh-pa/2pcq6wc/
380,5025 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5025-5th-ave-pittsburgh-pa/0nkh1z1/
381,HILLMAN HOUSE,"5045 5th Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/hillman-house-pittsburgh-pa/ecyghvq/
382,Neville House,"552 N Neville St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/neville-house-pittsburgh-pa/9htcg77/
383,5023 Frew St,"5023 Frew St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/5023-frew-st-pittsburgh-pa/b8r2cl9/
384,Shirley Apartments,"133 N Dithridge St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/shirley-apartments-pittsburgh-pa/kr7kbq9/
385,5120 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5120-5th-ave-pittsburgh-pa/ssc6gs7/
386,Ruskin Hall,"120 Ruskin Ave, Pittsburgh, PA 15213",0,,,https://www.apartments.com/ruskin-hall-pittsburgh-pa/wkym9fk/
387,425 N Neville St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/425-n-neville-st-pittsburgh-pa/scrs6j4/
388,Neville Street,"414 N Neville St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/neville-street-pittsburgh-pa/lxz9wqd/
389,3828 Bates St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/3828-bates-st-pittsburgh-pa/hmznz42/
390,Bruce Residence Hall,"3939-3955 Forbes Ave, Pittsburgh, PA 15213",0,,,https://www.apartments.com/bruce-residence-hall-pittsburgh-pa/fd4k5st/
391,5237 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5237-5th-ave-pittsburgh-pa/bvz9evc/
392,243 N DITHRIDGE,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/243-n-dithridge-pittsburgh-pa/rc5n172/
393,314 N Neville St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/314-n-neville-st-pittsburgh-pa/nm40vjn/
394,315 N Neville St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/315-n-neville-st-pittsburgh-pa/wpftv2k/
395,Mark A. Nordenberg Hall,"4041 5th Ave, Pittsburgh, PA 15213",0,,,https://www.apartments.com/mark-a-nordenberg-hall-pittsburgh-pa/3c67jvg/
396,5320 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5320-5th-ave-pittsburgh-pa/6wh1n8v/
397,4930 Centre Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/4930-centre-ave-pittsburgh-pa/0ecbfq3/
398,346 Oakland Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/346-oakland-ave-pittsburgh-pa/325k5ee/
399,324 Oakland Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/324-oakland-ave-pittsburgh-pa/9thknl4/
400,294-298 Oakland Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/294-298-oakland-ave-pittsburgh-pa/8rb5g03/
401,Litchfield Towers - Tower C,"3990 5th Ave, Pittsburgh, PA 15213",0,,,https://www.apartments.com/litchfield-towers-tower-c-pittsburgh-pa/3ybt96d/
402,321 Melwood Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/321-melwood-ave-pittsburgh-pa/9q3hb26/
403,Centre Plaza,"5032 Centre Ave, Pittsburgh, PA 15213",0,,,https://www.apartments.com/centre-plaza-pittsburgh-pa/lwtg4ff/
404,422 1/2 Atwood St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/422-1-2-atwood-st-pittsburgh-pa/8pmexy3/
405,5425 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5425-5th-ave-pittsburgh-pa/7250pfy/
406,317 Meyran Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/317-meyran-ave-pittsburgh-pa/edzkqcm/
407,926 Bellefonte St,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/926-bellefonte-st-pittsburgh-pa/3ybjy5d/
408,346 N Craig St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/346-n-craig-st-pittsburgh-pa/f90fc6s/
409,807 S Millvale Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/807-s-millvale-ave-pittsburgh-pa/szqln25/
410,755-759 Broughton St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/755-759-broughton-st-pittsburgh-pa/rx16pr1/
411,749 S Millvale Ave,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/749-s-millvale-ave-pittsburgh-pa/v0xe36f/
412,ELMER,"5501 Elmer St, Pittsburgh, PA 15232",0,,,https://www.apartments.com/elmer-pittsburgh-pa/8ljvx63/
413,Parkview Estates,"3408 Parkview Ave, Pittsburgh, PA 15213",0,,,https://www.apartments.com/parkview-estates-pittsburgh-pa/1hqdtr5/
414,South Aiken Apartments,"545 S Aiken Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/south-aiken-apartments-pittsburgh-pa/zn7gzdw/
415,Forbes Residence Hall,"3521-3525 Forbes Ave, Pittsburgh, PA 15213",0,,,https://www.apartments.com/forbes-residence-hall-pittsburgh-pa/h0yt262/
416,Dawson Village Apartments,"3429 Dawson St, Pittsburgh, PA 15213",0,,,https://www.apartments.com/dawson-village-apartments-pittsburgh-pa/h96y2x3/
417,330 Mckee Pl,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/330-mckee-pl-pittsburgh-pa/4yx35gh/
418,316 Mckee Pl,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/316-mckee-pl-pittsburgh-pa/jef2rn7/
419,5521 Wilkins Ave,"Pittsburgh, PA 15217",0,,,https://www.apartments.com/5521-wilkins-ave-pittsburgh-pa/0yzs4f1/
420,417 N Craig St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/417-n-craig-st-pittsburgh-pa/3v5stcf/
421,Kentley House,"5619 Kentucky Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/kentley-house-pittsburgh-pa/ph06vwr/
422,JAMES MANOR,"5529 Ellsworth Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/james-manor-pittsburgh-pa/lf22pwf/
423,525 Aspen St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/525-aspen-st-pittsburgh-pa/stqsqk7/
424,724 S Negley Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/724-s-negley-ave-pittsburgh-pa/d2tv1hk/
425,704 S Negley Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/704-s-negley-ave-pittsburgh-pa/cpbpe1f/
426,3305 Dawson St,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/3305-dawson-st-pittsburgh-pa/hnxtm53/
427,528-530 S Winebiddle St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/528-530-s-winebiddle-st-pittsburgh-pa/8gp78v2/
428,Bloomfield Lofts,"4926 Cypress St, Pittsburgh, PA 15224",0,,,https://www.apartments.com/bloomfield-lofts-pittsburgh-pa/p2z2nks/
429,5737 5th Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5737-5th-ave-pittsburgh-pa/kvllcgc/
430,Shadyside Rentals,"5501 Centre Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/shadyside-rentals-pittsburgh-pa/ycfk0bt/
431,Gracen Court,"5522 Centre Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/gracen-court-pittsburgh-pa/m9ylfhl/
432,Thames Manor,"585-587 S Negley Ave, Pittsburgh, PA 15232",0,,,https://www.apartments.com/thames-manor-pittsburgh-pa/dys25wj/
433,425 S Pacific Ave,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/425-s-pacific-ave-pittsburgh-pa/0bqb9z1/
434,5754 Howe St,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5754-howe-st-pittsburgh-pa/ympjhlr/
435,720 Edmond St,"Pittsburgh, PA 15224",0,,,https://www.apartments.com/720-edmond-st-pittsburgh-pa/xx4c8xp/
436,3801 Bigelow Blvd,"Pittsburgh, PA 15213",0,,,https://www.apartments.com/3801-bigelow-blvd-pittsburgh-pa/vbwkzld/
437,Demolished,"5518 Baum Blvd, Pittsburgh, PA 15232",0,,,https://www.apartments.com/demolished-pittsburgh-pa/js4ccp5/
438,5535 Centre Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5535-centre-ave-pittsburgh-pa/sfe5l74/
439,Walnut on Wightman,"5560 Forbes Ave, Pittsburgh, PA 15217",0,,,https://www.apartments.com/walnut-on-wightman-pittsburgh-pa/cktm3zd/
440,5731 Ellsworth Ave,"Pittsburgh, PA 15232",0,,,https://www.apartments.com/5731-ellsworth-ave-pittsburgh-pa/0nzhzy2/
